Currency,JAN3,JAN4,JAN5,JAN6,JAN7,JAN10,JAN11,JAN12,JAN13,JAN14,JAN18,JAN19,JAN20,JAN21,JAN24,JAN25,JAN26,JAN27,JAN28,JAN31
Chinese yuan,0.00,6.38,6.37,6.37,6.37,6.37,6.37,6.36,6.36,6.35,6.35,6.35,6.34,6.34,6.33,6.33,6.32,6.36,6.36,0.00
Euro,1.14,1.13,1.13,1.13,1.13,1.13,1.13,1.14,1.15,1.14,1.14,1.13,1.13,1.13,1.13,1.13,1.13,1.12,1.11,1.12
Japanese yen,0.00,115.42,116.20,116.04,115.89,0.00,115.32,115.33,114.66,114.00,114.54,114.70,114.28,113.83,113.83,113.98,113.81,114.67,115.44,115.43
U.K. pound,0.00,1.35,1.35,1.35,1.36,1.36,1.36,1.36,1.37,1.37,1.36,1.36,1.36,1.36,1.35,1.34,1.35,1.34,1.34,1.34
U.S. dollar,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Algerian dinar,138.67,138.91,138.86,138.89,139.33,139.32,139.46,0.00,139.40,0.00,139.65,139.68,139.65,139.78,139.86,139.86,139.88,140.00,140.29,140.35
Australian dollar,0.00,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.71,0.00,0.71,0.70,0.70
Botswana pula,0.00,0.00,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.00,0.09,0.00
Brazilian real,5.63,5.68,5.66,5.70,5.67,5.67,5.63,5.56,5.52,5.53,5.52,5.50,5.42,5.44,5.49,5.50,0.00,5.38,5.39,5.36
Brunei dollar,1.35,1.35,1.36,1.36,1.36,1.36,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.34,1.34,1.34,1.35,1.35,1.36
Canadian dollar,0.00,1.27,1.27,1.27,1.27,1.27,1.26,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.27,1.26,1.26,1.27,1.28,1.27
