Year,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020
All Countries,"6,097,690","5,792,290","5,907,424","6,152,301","327,781","-157,407","28,596","234,919","518,653","537,331","519,745","452,034"
Canada,"371,274","373,604","404,589","422,160","16,356","15,944","34,406","16,299","24,917","30,315","26,660","20,954"
Europe,"3,654,095","3,413,031","3,501,659","3,660,470","177,180","6,369","-35,079","149,530","292,757","282,555","288,781","245,691"
Austria,"7,987","6,848","6,921","4,947",946,451,844,"-1,173",346,670,664,284
Belgium,"53,645","59,397","64,633","69,539","1,481","9,801","4,553","4,358","6,018","6,191","6,648","7,000"
Czech Republic,"4,844","5,253","5,456","5,629",243,"1,181",95,201,515,386,431,437
Denmark,"12,107","10,692","9,108","9,874",-222,"-1,855","-1,035","1,068",451,-39,579,658
Finland,"2,513","4,063","4,504","5,269",-621,-597,747,564,85,139,121,420
France,"78,632","67,548","88,425","91,153","3,708","1,242","6,360","-1,012","3,202","1,153","2,855","1,598"
Germany,"132,595","134,794","151,278","162,387","4,025","5,406","16,590","10,841","6,649","5,358","7,171","5,502"
Greece,"1,198",431,90,74,80,149,-73,-136,134,177,79,123
Hungary,"6,672","5,283","12,166","13,295",541,"1,284",-138,659,532,470,238,611
Ireland,"457,301","444,037","398,749","390,274","47,842","2,780","-82,222","21,990","62,276","58,430","62,692","55,982"
Italy,"27,617","32,842","28,270","31,093",388,"7,468","1,905","1,642","1,521","1,559","1,784","1,131"
Luxembourg,"703,066","720,628","751,657","759,360","39,283","31,538","12,413","17,554","42,422","41,494","37,901","33,443"
Netherlands,"929,746","809,663","810,986","843,954","22,491","-56,091","-11,433","27,908","79,489","83,119","82,678","65,859"
Norway,"26,901","25,905","24,632","21,484",34,-375,"-3,811","-1,714","1,619","1,211","1,337",657
Poland,"12,266","11,870","10,720","11,127",463,"1,827",-428,297,869,"1,466","1,001",841
Portugal,"2,372","2,504","2,437","2,538",120,217,-48,-515,190,150,177,124
Russia,"13,786","12,779","13,597","12,538","-1,149","1,208",-190,127,"1,096","1,105",932,983
Spain,"35,482","31,916","35,787","38,533",417,"-2,422","3,993","1,633","2,936","2,536","3,807","3,222"
Sweden,"36,896","43,521","42,722","63,847","3,141","6,854","-1,940","2,136","3,043","1,293","3,399","1,844"
Switzerland,"252,231","210,800","192,847","211,936","35,815","-16,449",627,"16,692","29,532","21,477","21,856","17,681"
Turkey,"4,074","4,193","3,834","5,814",506,721,226,"2,392",622,605,466,324
United Kingdom,"815,059","754,139","830,438","890,086","24,590","12,369","18,537","39,641","46,875","46,272","50,831","41,239"
Other,"37,103","13,924","12,401","15,717","-6,943",-340,-650,"4,375","2,336","7,335","1,133","5,728"
Latin America and Other Western Hemisphere,"1,008,741","1,000,673","931,017","962,400","75,140","-145,362","-13,430","28,488","102,641","106,273","101,613","89,452"
South America,"138,996","134,707","138,705","140,159",-448,"-3,982","2,439","6,630","9,599","9,316","8,451","4,886"
Argentina,"15,219","8,907","9,974","8,730","1,898","-4,412","1,169",(D),"1,811","1,077",344,-157
Brazil,"77,486","78,963","80,864","70,742","2,351",557,-350,"-3,562","3,338","3,468","4,104","2,109"
Chile,"25,793","25,660","24,912","23,011","-1,546",397,302,-952,"2,069","2,553","2,021","1,430"
Colombia,"7,669","7,236","7,286","7,767",13,846,117,-580,831,"1,130",857,332
Ecuador,715,781,681,29,-202,49,-34,-293,127,-54,139,65
