Year,Month,Day,Hour,Minute,Second,DayOfYear,LongitudeE,LatitudeN,SST,SSS,AtmPressure,EquiTemp,EquiPress,xCO2,pCO2,fCO2
2021,2,18,0,4,43,49.003275,-10.5397,49.5943,10.74,35.38,996.3,10.91,995.75,408.8,393.2,391.8
2021,2,18,0,6,12,49.004306,-10.5373,49.5935,10.72,35.38,996,10.92,995.17,408.6,392.8,391.4
2021,2,18,0,7,42,49.005347,-10.5351,49.5928,10.72,35.38,995.9,10.9,995.08,408.9,393.1,391.6
2021,2,18,0,9,11,49.006377,-10.5329,49.5919,10.71,35.38,995.6,10.91,995.99,408.9,393.3,391.9
2021,2,18,0,10,40,49.007407,-10.5307,49.5912,10.71,35.38,996.1,10.92,995.82,408.8,393.2,391.7
2021,2,18,0,12,10,49.008449,-10.5283,49.5905,10.72,35.38,996.9,10.9,995.65,408.8,393.3,391.8
2021,2,18,0,13,39,49.009479,-10.5259,49.5898,10.71,35.37,996.3,10.91,995.72,408.8,393.3,391.8
2021,2,18,0,27,27,49.019062,-10.5035,49.5831,10.68,35.37,996.2,10.88,996.23,408.9,393.4,391.9
2021,2,18,0,34,57,49.024271,-10.4915,49.5799,10.65,35.37,996.8,10.86,996.27,408.8,393.2,391.8
2021,2,18,0,36,27,49.025312,-10.4892,49.5793,10.65,35.37,997,10.87,996.99,408.9,393.6,392.1
2021,2,18,0,37,56,49.026343,-10.4868,49.5786,10.67,35.37,996.8,10.86,996.4,408.7,393.1,391.7
2021,2,18,1,9,38,49.048356,-10.4337,49.564,10.56,35.35,996.8,10.77,996.66,409.5,394.2,392.8
2021,2,18,1,11,7,49.049387,-10.4315,49.5632,10.57,35.34,997.4,10.77,996.75,409.3,394.1,392.6
2021,2,18,1,17,4,49.053519,-10.4223,49.5599,10.55,35.34,997.1,10.75,997.05,409.6,394.7,393.2
2021,2,18,1,18,33,49.054549,-10.4199,49.5591,10.57,35.34,997.6,10.74,996.61,409.7,394.6,393.1
2021,2,18,1,20,3,49.05559,-10.4174,49.5583,10.55,35.34,997.5,10.75,996.17,409.8,394.4,392.9
2021,2,18,1,21,33,49.056632,-10.4153,49.5576,10.55,35.34,996.7,10.75,996.05,409.6,394.1,392.7
2021,2,18,1,23,2,49.057662,-10.4131,49.5568,10.54,35.34,997,10.75,996.37,409.8,394.4,393
2021,2,18,1,24,33,49.058715,-10.4108,49.556,10.55,35.34,997.2,10.75,996.22,409.9,394.5,393
2021,2,18,1,26,1,49.059734,-10.4085,49.5552,10.54,35.34,997.3,10.75,996.49,410,394.7,393.2
2021,2,18,1,27,53,49.06103,-10.4057,49.5542,10.55,35.33,996.9,10.73,996.8,410,394.8,393.3
2021,2,18,1,29,23,49.062072,-10.4034,49.5533,10.53,35.33,997.3,10.73,997.06,410.1,395,393.5
2021,2,18,1,30,52,49.063102,-10.4012,49.5525,10.54,35.33,997.4,10.73,996.51,409.9,394.6,393.1
2021,2,18,1,32,21,49.064132,-10.3989,49.5517,10.53,35.33,997.3,10.73,997.35,410.1,395.2,393.7
2021,2,18,1,33,50,49.065162,-10.3966,49.5509,10.52,35.33,996.9,10.72,997.1,410.1,395.1,393.6
2021,2,18,1,35,19,49.066192,-10.3943,49.5501,10.53,35.33,997.8,10.73,996.83,409.9,394.8,393.4
2021,2,18,1,36,48,49.067222,-10.3921,49.5492,10.53,35.33,996.8,10.73,997.15,410.1,395.2,393.7
2021,2,18,1,38,16,49.068241,-10.3897,49.5484,10.52,35.33,997,10.72,997.17,409.9,394.9,393.4
2021,2,18,1,39,45,49.069271,-10.3874,49.5476,10.5,35.33,997.6,10.72,996.87,409.8,394.6,393.1
2021,2,18,1,41,14,49.070301,-10.3848,49.5467,10.52,35.32,997.1,10.73,997.03,410.1,394.8,393.3
2021,2,18,1,42,43,49.071331,-10.3824,49.5459,10.52,35.32,996.9,10.71,997.31,410.3,395.3,393.8
2021,2,18,1,44,12,49.072361,-10.3798,49.545,10.51,35.33,997.3,10.71,997.85,410.2,395.5,394
2021,2,18,1,45,42,49.073403,-10.3773,49.5442,10.5,35.32,997.5,10.7,997.43,410.1,395.3,393.8
2021,2,18,1,47,13,49.074456,-10.375,49.5433,10.49,35.32,997.8,10.71,997.37,410.3,395.1,393.6
2021,2,18,1,48,42,49.075486,-10.3726,49.5425,10.5,35.32,997.5,10.71,997.28,410.3,395.2,393.7
